Name,Links,URL,Cost,Due date,Final deadline,Relevance,Publisher,Tags,Created time,Description,Attachment,To-do-list,Checkbox
ICTERI'2025: 20th International Conference on ICT,"- ICTERI'2025: Website
- ICTERI'2025: CfP
",https://icteri.org/icteri-2025/important-dates/,Free,12/5/2025 20:45,23/9/2025 20:46,3_Finished,Springer.org,"Conference,Workshop",8/4/2021 20:43,,ICTERI-2025-CfWSP-v.0.1.pdf (https://v5.airtableusercontent.com/v3/u/49/49/1769263200000/B1jCSYgVJHLoCpFccI5zhA/lkkIFvycYm6nKuV5ffoOVA27X-pp_QzXtu0pQEIgINMqFP3BzGeufufKK82CwqehDORjsnbROOCJzvNCwU0gGEdfEGY7K_sdGgwCqWbODQw_733Q-0OpDPkD7HP9Eh7CrgL1lCKBYgwiBFMkFJImgbFDGY_9TxL3yxVaHYUd4eS27dJhIIywE3SNfoO77Ivr/-XWfMKiJVSZABPn83WpxOXEzCwta9iru5oLSMUqpD2E),,
CH&CMiGIN 2025: Fourth International Conference on Cyber Hygiene & Conflict Management in Global Information Networks,- CH&CMiGIN 2025: Website,https://cyberconf.fccpi.nau.edu.ua/,Free,15/5/2025 14:33,20/6/2025 14:33,3_Finished,CEUR.org,Workshop,7/3/2025 14:29,,,,
"IDAACS-2025: The 13th IEEE International Conference on
Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications","- IDAACS-2025: Website
- IDAACS-2025: CAP",https://www.idaacs.net/2025,350 EUR,18/5/2025 10:32,4/9/2025 10:33,3_Finished,IEEE.org,Conference,7/3/2025 10:32,,,,
"MCEME'2025: III International Scientific and Theoretical Conference ""Modeling and Computer Engineering in Mechanical Engineering""",- MCEME'2025: Website,https://science.lpnu.ua/mceme-2024,250 UAH,18/5/2025 18:25,18/6/2025 18:25,3_Finished,Springer.org,Workshop,16/6/2022 18:23,,,,
ICyberPhyS 2025: Intelligent & CyberPhysical Systems 2025,- ICyberPhyS 2025: Website,http://kiis.khmnu.edu.ua/icyberphys-2025/,Free,18/5/2025 19:03,27/6/2025 19:03,3_Finished,CEUR.org,Conference,12/11/2024 19:02,,,,
Synergy in Terra – 2025: International Conference “Synergy in Terra – 2025”,- Synergy in Terra – 2025: Website,https://science.lpnu.ua/synergy-terra,1000 UAH,30/5/2025 16:42,6/6/2025 16:42,3_Finished,Academic Journal,Conference,25/2/2025 16:40,,,,
KhPIW'2025: 2025 IEEE 5th KhPI Week on Advanced Technology,- KhPIW'2025: Website,https://khpiweek.ieee.org.ua/,Free,15/6/2025 15:08,6/10/2025 15:09,3_Finished,IEEE.org,Conference,18/6/2022 15:07,,,,
AEQUITAS 2025: Fairness and Bias in AI,- AEQUITAS 2025: Website,https://aequitas-aod.github.io/aequitas-ecai25.github.io/dates.html,NaN,26/6/2025 14:56,25/10/2025 14:57,3_Finished,CEUR.org,Workshop,7/3/2025 14:55,,,,
SAIC'2025: IEEE International Conference on System Analysis & Intelligent Computing (SAIC),- SAIC'2025: Website,http://saic.ieee.org.ua/,50 EUR,30/6/2025 13:11,16/9/2025 13:12,3_Finished,IEEE.org,Conference,19/6/2022 13:09,,,,
ICST-ODESA-2025: Information Control Systems and Technologies,"- ICST'2025: Website
- ICST'2025: EasyChair",https://icst-conf.com/main-eng.html#dates,750 UAH,15/7/2025 15:07,24/9/2025 14:49,3_Finished,CEUR.org,Conference,18/6/2022 14:44,,,,
CSDP-2024: Cyber Security and Data Protection 2024,- CSDP-2024: Website,https://csdp.lpnu.ua/,Free,20/7/2025 18:52,31/7/2025 18:52,3_Finished,CEUR.org,Workshop,12/11/2024 18:52,,,,
ArgXAI 2025: Argumentation for eXplainable AI 2025,- ArgXAI 2025: Website,https://people.cs.umu.se/tkampik/argxai/2025.html,NaN,22/7/2025 14:59,26/10/2025 14:59,3_Finished,CEUR.org,Workshop,7/3/2025 14:58,,,,
DigiTransfEd 2025: Digital Transformation of Education 2025,- DigiTransfEd 2025: Website,https://digitransfed.ztu.edu.ua/,Free,31/7/2025 15:03,24/9/2025 15:03,3_Finished,CEUR.org,Workshop,13/11/2024 15:01,,,,
SCIA-2025: 4th International Workshop on Social Communication and Information Activity in Digital Humanities 2025,- SCIA-2025: Website,https://skid.lpnu.ua/?page_id=220,Free,1/9/2025 15:00,30/10/2025 14:00,3_Finished,CEUR.org,Workshop,13/11/2024 14:59,,,,
"SECS-2025: 4th International Conference ""Challenges and Reality of the IT-space: Software Engineering and Cybersecurity""","- SECS-2025: Website
- SECS-2025: CMT
",https://secs.knute.edu.ua//2025/index.html,Free,15/9/2025 14:17,23/10/2025 14:17,3_Finished,Academic Journal,Journal,20/8/2025 14:15,,,,
CS&SE@SW 2025: 8th Workshop for Young Scientists in Computer Science & Software Engineering,- CS&SE@SW'2025: Website,https://cssesw.easyscience.education/cssesw2025/,NaN,12/10/2025 12:01,21/11/2025 12:03,3_Finished,CEUR.org,"Conference,Workshop",25/7/2021 12:00,,,,
"TCSET'2026: 2026 IEEE 18th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering","- TCSET'2026: Website
",https://tcset.ieee.org.ua/,Free,30/11/2025 16:30,17/2/2026 16:02,3_Finished,IEEE.org,Conference,13/5/2020 16:29,,,,
ELNANO'2026: 2026 IEEE International Conference on Electronics and Nanotechnology (ELNANO),- ELNANO'2026: Website,https://elnano.ieee.org.ua/call-for-papers/,1400 UAH,1/12/2025 15:02,27/4/2026 15:02,3_Finished,IEEE.org,Conference,18/6/2022 15:01,2022 IEEE 41st International Conference on Electronics and Nanotechnology (ELNANO) will be held in frames of IEEE Kyiv Polytechnic Week at Igor Sikorsky Kyiv Polytechnic Institute.,,,
DOORS'2025: 5th Edge Computing Workshop,"- DOORS'2026: Website
- DOORS'2026: Submission",https://notso.easyscience.education/doors/2026/,NaN,18/12/2025 11:03,3/4/2026 11:04,3_Finished,NaN,Conference,16/10/2024 10:58,,,,
