Name,URL,Cost,Due date,Final deadline,Relevance,Publisher,Tags
CIAW 2024: Computational Intelligence Application Workshop 2024,https://science.lpnu.ua/ciss-2024/computational-intelligence-application-workshop,Free,10/9/2024 12:45,10/10/2024 12:45,3_Finished,CEUR.org,Workshop
CISS-2024: 1st International Scientific and Practical Conference “Сomputational Intelligence and Smart Systems”,https://science.lpnu.ua/ciss-2024,Free,20/9/2024 18:02,10/10/2024 18:02,3_Finished,CEUR.org,"Workshop,Conference"
CSITIC-2024: 7th International Scientific and Technical Conference COMPUTER AND INFORMATIONAL SYSTEMS AND TECHNOLOGIES,http://csitic.com/about-conference-2024-ua.html,100 UAH,21/9/2024 15:10,26/9/2024 15:11,3_Finished,NaN,Conference
XAI.it 2024: Italian Workshop on Explainable Artificial Intelligence 2024,https://xai-it.github.io/call.html,NaN,29/9/2024 13:25,26/11/2024 13:25,3_Finished,CEUR.org,Workshop
"BEWARE 2024: Bias, Risk, Explainability, Ethical AI and the role of Logic and Logic Programming 2024",https://sites.google.com/view/beware2024,NaN,30/9/2024 13:51,25/11/2024 13:52,3_Finished,CEUR.org,Workshop
"HC@AIxIA 2024: 3rd AIxIA Workshop on Artificial Intelligence For Healthcare ",https://sites.google.com/unical.it/hcaixia2024/home?authuser=0,NaN,30/9/2024 15:11,27/11/2024 15:12,3_Finished,CEUR.org,"Conference,Workshop"
IDDM'2024: 7th International Conference on Informatics & Data-Driven Medicine,https://science.lpnu.ua/iddm-2024/submission,Free,1/10/2024 12:36,14/11/2024 12:39,3_Finished,CEUR.org,"Conference,Workshop"
ADP 2024: Algorithms of Data Processing 2024,https://www.ans.nau.edu.ua/adp/,Free,1/10/2024 13:42,20/10/2024 13:43,3_Finished,CEUR.org,
IT&I'2024: Information Technology and Implementation,https://www.facebook.com/photo/?fbid=10223236745098691&set=gm.3301062060197675&idorvanity=2568037013500187,Free,1/10/2024 20:33,21/11/2024 20:33,3_Finished,CEUR.org,"Conference,Workshop"
CPITS-II 2024: Cybersecurity Providing in Information and Telecommunication Systems II 2024,https://cpits.kubg.edu.ua/,Free,4/10/2024 18:48,26/10/2024 18:48,3_Finished,CEUR.org,"Conference,Workshop"
RECI'2024: The 3rd International Workshop on Reliability Engineering and Computational Intelligence,https://reci.fri.uniza.sk/,"Free - online
200 EUR - in-person",6/10/2024 21:16,6/11/2024 21:18,3_Finished,Springer.org,"Conference,Workshop"
HCI-SI 2024: Human-Computer Interaction Slovenia,https://ceur-ws.org/Vol-3866/,Free,13/10/2024 14:43,8/11/2024 14:43,3_Finished,CEUR.org,Conference
AdvAIT-2024: 1st International Workshop on Advanced Applied Information Technologies,http://kiis.khmnu.edu.ua/advait-2024/,Free,20/10/2024 17:12,29/11/2024 17:12,3_Finished,CEUR.org,"Conference,Workshop"
"ITS-2024: XXIV International Scientific and Practical Conference ""Information Technologies and Security""",https://its.ipri.kiev.ua/#place,Nan,31/10/2024 13:48,19/12/2024 13:46,3_Finished,CEUR.org,Workshop
C&D'2024: 4TH INTERNATIONAL ONLINE CONFERENCE ‘CORPORA AND DISCOURSE’,https://corpora.kamts1.kpi.ua/cad,NaN,11/11/2024 10:52,26/11/2024 13:16,3_Finished,NaN,Conference
WDA 2025: Workshop on Data Analytics 2025,https://www.ans.nau.edu.ua/wda/,Free,25/11/2024 14:37,6/1/2025 14:38,3_Finished,CEUR.org,Workshop
ICTM'2024: Integrated Computer Technologies in Mechanical Engineering – Synergetic Engineering,https://ictm.khai.edu/,NaN,25/11/2024 17:06,5/12/2024 17:06,3_Finished,Springer.org,"Conference,Workshop"
BESD-2025: International Scientific and Practical Conference Business Ecosystems: Sustainable Development 2025,https://be-sd.org/,Free,20/1/2025 16:31,3/2/2025 16:31,3_Finished,Springer.org,Conference
STE(A)M 2025: 4th Yurii Ramskyi STE(A)M Workshop,https://stem.easyscience.education/2025/,Free,20/1/2025 16:38,14/5/2025 16:38,3_Finished,CEUR.org,Workshop
"ICSF'2025: The 6th International Conference on Sustainable Futures: Environmental, Technological, Social and Economic Matters",https://icsf.easyscience.education/2025/,Free,31/1/2025 11:45,21/5/2025 17:42,3_Finished,IOP Publishing,Conference
SCIA 2025: Scandinavian Conference on Image Analysis 2025,https://scia2025.org/dates/,NaN,27/2/2025 12:15,23/6/2025 12:15,3_Finished,Springer.org,Conference
DECaT-2025: Digital Economy Concepts and Technologies Workshop,"https://decat.eae.com.ua/#:~:text=The%20aim%20of%20Digital%20economy,advanced%20information%20systems%20and%20technologies",Free,8/3/2025 14:52,3/4/2025 14:52,3_Finished,CEUR.org,Workshop
SMARTINDUSTRY'2025: 2nd International Conference on Smart Automation & Robotics for Future Industry,https://science.lpnu.ua/smartindustry-2025,Free,8/3/2025 17:44,3/4/2025 17:45,3_Finished,CEUR.org,Conference
AISD 2025: The Second International Workshop of Young Scientists on Artificial Intelligence for Sustainable Development,https://aisd.wunu.edu.ua/,NaN,14/3/2025 19:09,8/5/2025 19:09,3_Finished,CEUR.org,Workshop
CoLInS'2025: IX International Conference Computational Linguistics and Intelligent Systems,http://colins.in.ua/,Free,15/3/2025 21:02,15/5/2025 21:10,3_Finished,CEUR.org,"Conference,Workshop"
ESS'2025: 2025 IEEE International Conference on Energy Smart Systems (ESS),https://ess.ieee.org.ua/,Free,17/3/2025 15:05,25/9/2025 15:06,3_Finished,IEEE.org,Conference
CMIS'2025: The Eighth International Workshop on Computer Modeling and Intelligent Systems,https://www.facebook.com/groups/cmis.workshop,Free,24/3/2025 21:20,5/5/2025 21:32,3_Finished,CEUR.org,"Conference,Workshop"
AREdu 2025: The 8th International Workshop on Augmented Reality in Education,https://aredu.easyscience.education/aredu2025/,NaN,10/4/2025 13:57,13/5/2025 13:57,3_Finished,CEUR.org,Workshop
UkrPROG'2025: The 15th International Scientific and Practical Conference on Programming,https://iss.nas.gov.ua/event/cotirnadcyata-miznarodna-naukovo-prakticna-konferenciya-z-programuvannya-18,900 грн + 100 грн за кожну сторінку понад 9 сторінок,11/4/2025 10:51,13/5/2025 10:51,3_Finished,CEUR.org,Conference
IntSol'2025: IV International Scientific Symposium “Intelligent Solutions”,https://intsol.knu.ua/,700 UAH,13/4/2025 11:04,1/5/2025 11:04,3_Finished,CEUR.org,Workshop
CMSE 2024: Computational Methods in Systems Engineering 2024,https://ans.nau.edu.ua/cmse/,Free,14/4/2025 19:05,17/6/2024 19:05,3_Finished,CEUR.org,Workshop
UNLP'2025: 4th Ukrainian Natural Language Processing Workshop,https://unlp.org.ua/,Free,20/4/2025 20:36,31/7/2025 20:40,3_Finished,CEUR.org,"Conference,Workshop"
ISDMCI'2025: Intellectual Decision-Making Systems and Problems of Computational Intelligence - International Scientific Conference,https://www.isdmci.ks.ua/?fbclid=IwAR1IQgu3SXkbVLeO1wkHzPUDnAD6Q3s6m_CJ2ZKDktiB8WtB1VQDwO8rIyQ,20 EUR,30/4/2025 18:00,19/6/2025 14:50,3_Finished,Springer.org,Conference
ITEP-2025: 2nd International Conference on Information Technologies in the Environmental Protection,https://science.lpnu.ua/itep-2025,Free,1/5/2025 14:16,15/5/2025 14:16,3_Finished,NaN,Workshop
"CITI-2025: The 3rd International Workshop on
“Computer Information Technologies in Industry 4.0”",https://citi.tntu.edu.ua/,Free,1/5/2025 19:01,11/6/2025 19:01,3_Finished,CEUR.org,Workshop
ACIT'2025: 2025 IEEE 15th International Conference on Advanced Computer Information Technologies,https://acit.tech/index.php/call-for-papers,Free,6/5/2025 16:33,17/9/2025 17:12,3_Finished,IEEE.org,Conference
EXPLIMED 2025: Explainable Artificial Intelligence for the Medical Domain,https://sites.google.com/view/explimed-2025/home-page,655 EUR,10/5/2025 14:49,25/10/2025 14:49,3_Finished,CEUR.org,Workshop
"ATRIC-2025: International Conference on Advanced Trends in Radioelectronics and Infocommunications ",https://science.lpnu.ua/atric-2025,Free,10/5/2025 18:40,21/5/2025 18:40,3_Finished,NaN,Workshop
ICTERI'2025: 20th International Conference on ICT,https://icteri.org/icteri-2025/important-dates/,Free,12/5/2025 20:45,23/9/2025 20:46,3_Finished,Springer.org,"Conference,Workshop"
CH&CMiGIN 2025: Fourth International Conference on Cyber Hygiene & Conflict Management in Global Information Networks,https://cyberconf.fccpi.nau.edu.ua/,Free,15/5/2025 14:33,20/6/2025 14:33,3_Finished,CEUR.org,Workshop
"IDAACS-2025: The 13th IEEE International Conference on
Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications",https://www.idaacs.net/2025,350 EUR,18/5/2025 10:32,4/9/2025 10:33,3_Finished,IEEE.org,Conference
"MCEME'2025: III International Scientific and Theoretical Conference ""Modeling and Computer Engineering in Mechanical Engineering""",https://science.lpnu.ua/mceme-2024,250 UAH,18/5/2025 18:25,18/6/2025 18:25,3_Finished,Springer.org,Workshop
ICyberPhyS 2025: Intelligent & CyberPhysical Systems 2025,http://kiis.khmnu.edu.ua/icyberphys-2025/,Free,18/5/2025 19:03,27/6/2025 19:03,3_Finished,CEUR.org,Conference
Synergy in Terra – 2025: International Conference “Synergy in Terra – 2025”,https://science.lpnu.ua/synergy-terra,1000 UAH,30/5/2025 16:42,6/6/2025 16:42,3_Finished,Academic Journal,Conference
KhPIW'2025: 2025 IEEE 5th KhPI Week on Advanced Technology,https://khpiweek.ieee.org.ua/,Free,15/6/2025 15:08,6/10/2025 15:09,3_Finished,IEEE.org,Conference
AEQUITAS 2025: Fairness and Bias in AI,https://aequitas-aod.github.io/aequitas-ecai25.github.io/dates.html,NaN,26/6/2025 14:56,25/10/2025 14:57,3_Finished,CEUR.org,Workshop
SAIC'2025: IEEE International Conference on System Analysis & Intelligent Computing (SAIC),http://saic.ieee.org.ua/,50 EUR,30/6/2025 13:11,16/9/2025 13:12,3_Finished,IEEE.org,Conference
ICST-ODESA-2025: Information Control Systems and Technologies,https://icst-conf.com/main-eng.html#dates,750 UAH,15/7/2025 15:07,24/9/2025 14:49,3_Finished,CEUR.org,Conference
CSDP-2024: Cyber Security and Data Protection 2024,https://csdp.lpnu.ua/,Free,20/7/2025 18:52,31/7/2025 18:52,3_Finished,CEUR.org,Workshop
ArgXAI 2025: Argumentation for eXplainable AI 2025,https://people.cs.umu.se/tkampik/argxai/2025.html,NaN,22/7/2025 14:59,26/10/2025 14:59,3_Finished,CEUR.org,Workshop
DigiTransfEd 2025: Digital Transformation of Education 2025,https://digitransfed.ztu.edu.ua/,Free,31/7/2025 15:03,24/9/2025 15:03,3_Finished,CEUR.org,Workshop
SCIA-2025: 4th International Workshop on Social Communication and Information Activity in Digital Humanities 2025,https://skid.lpnu.ua/?page_id=220,Free,1/9/2025 15:00,30/10/2025 14:00,3_Finished,CEUR.org,Workshop
"SECS-2025: 4th International Conference ""Challenges and Reality of the IT-space: Software Engineering and Cybersecurity""",https://secs.knute.edu.ua//2025/index.html,Free,15/9/2025 14:17,23/10/2025 14:17,3_Finished,Academic Journal,Journal
CS&SE@SW 2025: 8th Workshop for Young Scientists in Computer Science & Software Engineering,https://cssesw.easyscience.education/cssesw2025/,NaN,12/10/2025 12:01,21/11/2025 12:03,3_Finished,CEUR.org,"Conference,Workshop"
"TCSET'2026: 2026 IEEE 18th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering",https://tcset.ieee.org.ua/,Free,30/11/2025 16:30,17/2/2026 16:02,3_Finished,IEEE.org,Conference
ELNANO'2026: 2026 IEEE International Conference on Electronics and Nanotechnology (ELNANO),https://elnano.ieee.org.ua/call-for-papers/,1400 UAH,1/12/2025 15:02,27/4/2026 15:02,3_Finished,IEEE.org,Conference
DOORS'2025: 5th Edge Computing Workshop,https://notso.easyscience.education/doors/2026/,NaN,18/12/2025 11:03,3/4/2026 11:04,3_Finished,NaN,Conference
